Epoca 336 | RMS 1.04568
Epoca 337 | RMS 1.04495
Epoca 338 | RMS 1.04422
Epoca 339 | RMS 1.04349
Epoca 340 | RMS 1.04276
Epoca 341 | RMS 1.04203
Epoca 342 | RMS 1.04130
Epoca 343 | RMS 1.04057
Epoca 344 | RMS 1.03985
Epoca 345 | RMS 1.03912
Epoca 346 | RMS 1.03840
Epoca 347 | RMS 1.03768
Epoca 348 | RMS 1.03696
Epoca 349 | RMS 1.03624
Epoca 350 | RMS 1.03552
Epoca 351 | RMS 1.03480
Epoca 352 | RMS 1.03409
Epoca 353 | RMS 1.03337
Epoca 354 | RMS 1.03266
Epoca 355 | RMS 1.03195
Epoca 356 | RMS 1.03124
Epoca 357 | RMS 1.03053
Epoca 358 | RMS 1.02982
Epoca 359 | RMS 1.02911
Epoca 360 | RMS 1.02841
Epoca 361 | RMS 1.02770
Epoca 362 | RMS 1.02700
Epoca 363 | RMS 1.02630
Epoca 364 | RMS 1.02560
Epoca 365 | RMS 1.02490
Epoca 366 | RMS 1.02420
Epoca 367 | RMS 1.02350
Epoca 368 | RMS 1.02281
Epoca 369 | RMS 1.02211
Epoca 370 | RMS 1.02142
Epoca 371 | RMS 1.02073
Epoca 372 | RMS 1.02003
Epoca 373 | RMS 1.01934
Epoca 374 | RMS 1.01866
Epoca 375 | RMS 1.01797
Epoca 376 | RMS 1.01728
Epoca 377 | RMS 1.01660
Epoca 378 | RMS 1.01591
Epoca 379 | RMS 1.01523
Epoca 380 | RMS 1.01455
Epoca 381 | RMS 1.01387
Epoca 382 | RMS 1.01319
Epoca 383 | RMS 1.01251
Epoca 384 | RMS 1.01183
Epoca 385 | RMS 1.01116
Epoca 386 | RMS 1.01048
Epoca 387 | RMS 1.00981
Epoca 388 | RMS 1.00914
Epoca 389 | RMS 1.00846
Epoca 390 | RMS 1.00779
Epoca 391 | RMS 1.00712
Epoca 392 | RMS 1.00645
Epoca 393 | RMS 1.00578
Epoca 394 | RMS 1.00512
Epoca 395 | RMS 1.00445
Epoca 396 | RMS 1.00378
Epoca 397 | RMS 1.00312
Epoca 398 | RMS 1.00246
Epoca 399 | RMS 1.00179
Epoca 400 | RMS 1.00113
Epoca 401 | RMS 1.00047
Epoca 402 | RMS 0.99981
Epoca 403 | RMS 0.99915
Epoca 404 | RMS 0.99849
Epoca 405 | RMS 0.99783
Epoca 406 | RMS 0.99718
Epoca 407 | RMS 0.99652
Epoca 408 | RMS 0.99586
Epoca 409 | RMS 0.99521
Epoca 410 | RMS 0.99456
Epoca 411 | RMS 0.99390
Epoca 412 | RMS 0.99325
Epoca 413 | RMS 0.99260
Epoca 414 | RMS 0.99195
Epoca 415 | RMS 0.99130
Epoca 416 | RMS 0.99065
Epoca 417 | RMS 0.99000
Epoca 418 | RMS 0.98936
Epoca 419 | RMS 0.98871
Epoca 420 | RMS 0.98807
Epoca 421 | RMS 0.98742
Epoca 422 | RMS 0.98678
Epoca 423 | RMS 0.98614
Epoca 424 | RMS 0.98550
Epoca 425 | RMS 0.98486
Epoca 426 | RMS 0.98422
Epoca 427 | RMS 0.98358
Epoca 428 | RMS 0.98295
Epoca 429 | RMS 0.98231
Epoca 430 | RMS 0.98168
Epoca 431 | RMS 0.98104
Epoca 432 | RMS 0.98041
Epoca 433 | RMS 0.97978
Epoca 434 | RMS 0.97915
Epoca 435 | RMS 0.97853
Epoca 436 | RMS 0.97790
Epoca 437 | RMS 0.97728
Epoca 438 | RMS 0.97665
Epoca 439 | RMS 0.97603
Epoca 440 | RMS 0.97541
Epoca 441 | RMS 0.97479
Epoca 442 | RMS 0.97418
Epoca 443 | RMS 0.97356
Epoca 444 | RMS 0.97295
Epoca 445 | RMS 0.97234
Epoca 446 | RMS 0.97173
Epoca 447 | RMS 0.97112
Epoca 448 | RMS 0.97051
Epoca 449 | RMS 0.96991
Epoca 450 | RMS 0.96930
Epoca 451 | RMS 0.96870
Epoca 452 | RMS 0.96810
Epoca 453 | RMS 0.96751
Epoca 454 | RMS 0.96691
Epoca 455 | RMS 0.96632
Epoca 456 | RMS 0.96573
Epoca 457 | RMS 0.96514
Epoca 458 | RMS 0.96456
Epoca 459 | RMS 0.96397
Epoca 460 | RMS 0.96339
Epoca 461 | RMS 0.96281
Epoca 462 | RMS 0.96223
Epoca 463 | RMS 0.96166
Epoca 464 | RMS 0.96109
Epoca 465 | RMS 0.96052
Epoca 466 | RMS 0.95995
Epoca 467 | RMS 0.95939
Epoca 468 | RMS 0.95882
Epoca 469 | RMS 0.95826
Epoca 470 | RMS 0.95771
Epoca 471 | RMS 0.95715
Epoca 472 | RMS 0.95660
Epoca 473 | RMS 0.95605
Epoca 474 | RMS 0.95550
Epoca 475 | RMS 0.95496
Epoca 476 | RMS 0.95442
Epoca 477 | RMS 0.95388
Epoca 478 | RMS 0.95334
Epoca 479 | RMS 0.95281
Epoca 480 | RMS 0.95228
Epoca 481 | RMS 0.95175
Epoca 482 | RMS 0.95122
Epoca 483 | RMS 0.95070
Epoca 484 | RMS 0.95018
Epoca 485 | RMS 0.94966
Epoca 486 | RMS 0.94915
Epoca 487 | RMS 0.94864
Epoca 488 | RMS 0.94813
Epoca 489 | RMS 0.94762
Epoca 490 | RMS 0.94712
Epoca 491 | RMS 0.94662
Epoca 492 | RMS 0.94612
Epoca 493 | RMS 0.94563
Epoca 494 | RMS 0.94513
Epoca 495 | RMS 0.94464
Epoca 496 | RMS 0.94416
Epoca 497 | RMS 0.94367
Epoca 498 | RMS 0.94319
Epoca 499 | RMS 0.94271
Epoca 500 | RMS 0.94224
Epoca 501 | RMS 0.94177
Epoca 502 | RMS 0.94130
Epoca 503 | RMS 0.94083
Epoca 504 | RMS 0.94037
Epoca 505 | RMS 0.93991
Epoca 506 | RMS 0.93945
Epoca 507 | RMS 0.93899
Epoca 508 | RMS 0.93854
Epoca 509 | RMS 0.93809
Epoca 510 | RMS 0.93764
Epoca 511 | RMS 0.93720
Epoca 512 | RMS 0.93676
Epoca 513 | RMS 0.93632
Epoca 514 | RMS 0.93588
Epoca 515 | RMS 0.93544
Epoca 516 | RMS 0.93501
Epoca 517 | RMS 0.93458
Epoca 518 | RMS 0.93416
Epoca 519 | RMS 0.93374
Epoca 520 | RMS 0.93331
Epoca 521 | RMS 0.93290
Epoca 522 | RMS 0.93248
Epoca 523 | RMS 0.93207
Epoca 524 | RMS 0.93166
Epoca 525 | RMS 0.93125
Epoca 526 | RMS 0.93084
Epoca 527 | RMS 0.93044
Epoca 528 | RMS 0.93004
Epoca 529 | RMS 0.92964
Epoca 530 | RMS 0.92925
Epoca 531 | RMS 0.92885
Epoca 532 | RMS 0.92846
Epoca 533 | RMS 0.92807
Epoca 534 | RMS 0.92769
Epoca 535 | RMS 0.92730
