0.09 0.10 -0.21 0.05 
0.48 0.40 -0.27 -0.19 
0.19 -0.48 
-0.36 0.48 
0.20 -0.10 
-0.26 -0.24 -0.36 -0.33 0.01 

##################LEARN##################
Epoca 117 | ACIERTOS = 46 31%
Epoca 117 | FALLOS = 104 69%
Epoca 118 | ACIERTOS = 46 31%
Epoca 118 | FALLOS = 104 69%
Epoca 119 | ACIERTOS = 46 31%
Epoca 119 | FALLOS = 104 69%
Epoca 120 | ACIERTOS = 46 31%
Epoca 120 | FALLOS = 104 69%
Epoca 121 | ACIERTOS = 46 31%
Epoca 121 | FALLOS = 104 69%
Epoca 122 | ACIERTOS = 46 31%
Epoca 122 | FALLOS = 104 69%
Epoca 123 | ACIERTOS = 46 31%
Epoca 123 | FALLOS = 104 69%
Epoca 124 | ACIERTOS = 46 31%
Epoca 124 | FALLOS = 104 69%
Epoca 125 | ACIERTOS = 46 31%
Epoca 125 | FALLOS = 104 69%
Epoca 126 | ACIERTOS = 46 31%
Epoca 126 | FALLOS = 104 69%
Epoca 127 | ACIERTOS = 46 31%
Epoca 127 | FALLOS = 104 69%
Epoca 128 | ACIERTOS = 46 31%
Epoca 128 | FALLOS = 104 69%
Epoca 129 | ACIERTOS = 46 31%
Epoca 129 | FALLOS = 104 69%
Epoca 130 | ACIERTOS = 46 31%
Epoca 130 | FALLOS = 104 69%
Epoca 131 | ACIERTOS = 46 31%
Epoca 131 | FALLOS = 104 69%
Epoca 132 | ACIERTOS = 46 31%
Epoca 132 | FALLOS = 104 69%
Epoca 133 | ACIERTOS = 46 31%
Epoca 133 | FALLOS = 104 69%
Epoca 134 | ACIERTOS = 46 31%
Epoca 134 | FALLOS = 104 69%
Epoca 135 | ACIERTOS = 46 31%
Epoca 135 | FALLOS = 104 69%
Epoca 136 | ACIERTOS = 46 31%
Epoca 136 | FALLOS = 104 69%
Epoca 137 | ACIERTOS = 46 31%
Epoca 137 | FALLOS = 104 69%
Epoca 138 | ACIERTOS = 46 31%
Epoca 138 | FALLOS = 104 69%
Epoca 139 | ACIERTOS = 46 31%
Epoca 139 | FALLOS = 104 69%
Epoca 140 | ACIERTOS = 46 31%
Epoca 140 | FALLOS = 104 69%
Epoca 141 | ACIERTOS = 46 31%
Epoca 141 | FALLOS = 104 69%
Epoca 142 | ACIERTOS = 46 31%
Epoca 142 | FALLOS = 104 69%
Epoca 143 | ACIERTOS = 46 31%
Epoca 143 | FALLOS = 104 69%
Epoca 144 | ACIERTOS = 46 31%
Epoca 144 | FALLOS = 104 69%
Epoca 145 | ACIERTOS = 46 31%
Epoca 145 | FALLOS = 104 69%
Epoca 146 | ACIERTOS = 46 31%
Epoca 146 | FALLOS = 104 69%
Epoca 147 | ACIERTOS = 46 31%
Epoca 147 | FALLOS = 104 69%
Epoca 148 | ACIERTOS = 46 31%
Epoca 148 | FALLOS = 104 69%
Epoca 149 | ACIERTOS = 46 31%
Epoca 149 | FALLOS = 104 69%
Epoca 150 | ACIERTOS = 46 31%
Epoca 150 | FALLOS = 104 69%
Epoca 151 | ACIERTOS = 46 31%
Epoca 151 | FALLOS = 104 69%
Epoca 152 | ACIERTOS = 46 31%
Epoca 152 | FALLOS = 104 69%
Epoca 153 | ACIERTOS = 46 31%
Epoca 153 | FALLOS = 104 69%
Epoca 154 | ACIERTOS = 46 31%
Epoca 154 | FALLOS = 104 69%
Epoca 155 | ACIERTOS = 46 31%
Epoca 155 | FALLOS = 104 69%
Epoca 156 | ACIERTOS = 46 31%
Epoca 156 | FALLOS = 104 69%
Epoca 157 | ACIERTOS = 46 31%
Epoca 157 | FALLOS = 104 69%
Epoca 158 | ACIERTOS = 46 31%
Epoca 158 | FALLOS = 104 69%
Epoca 159 | ACIERTOS = 46 31%
Epoca 159 | FALLOS = 104 69%
Epoca 160 | ACIERTOS = 46 31%
Epoca 160 | FALLOS = 104 69%
Epoca 161 | ACIERTOS = 46 31%
Epoca 161 | FALLOS = 104 69%
Epoca 162 | ACIERTOS = 46 31%
Epoca 162 | FALLOS = 104 69%
Epoca 163 | ACIERTOS = 46 31%
Epoca 163 | FALLOS = 104 69%
Epoca 164 | ACIERTOS = 46 31%
Epoca 164 | FALLOS = 104 69%
Epoca 165 | ACIERTOS = 46 31%
Epoca 165 | FALLOS = 104 69%
Epoca 166 | ACIERTOS = 46 31%
Epoca 166 | FALLOS = 104 69%
Epoca 167 | ACIERTOS = 46 31%
Epoca 167 | FALLOS = 104 69%
Epoca 168 | ACIERTOS = 46 31%
Epoca 168 | FALLOS = 104 69%
Epoca 169 | ACIERTOS = 46 31%
Epoca 169 | FALLOS = 104 69%
Epoca 170 | ACIERTOS = 46 31%
Epoca 170 | FALLOS = 104 69%
Epoca 171 | ACIERTOS = 46 31%
Epoca 171 | FALLOS = 104 69%
Epoca 172 | ACIERTOS = 46 31%
Epoca 172 | FALLOS = 104 69%
Epoca 173 | ACIERTOS = 46 31%
Epoca 173 | FALLOS = 104 69%
Epoca 174 | ACIERTOS = 46 31%
Epoca 174 | FALLOS = 104 69%
Epoca 175 | ACIERTOS = 46 31%
Epoca 175 | FALLOS = 104 69%
Epoca 176 | ACIERTOS = 46 31%
Epoca 176 | FALLOS = 104 69%
Epoca 177 | ACIERTOS = 46 31%
Epoca 177 | FALLOS = 104 69%
Epoca 178 | ACIERTOS = 46 31%
Epoca 178 | FALLOS = 104 69%
Epoca 179 | ACIERTOS = 46 31%
Epoca 179 | FALLOS = 104 69%
Epoca 180 | ACIERTOS = 46 31%
Epoca 180 | FALLOS = 104 69%
Epoca 181 | ACIERTOS = 46 31%
Epoca 181 | FALLOS = 104 69%
Epoca 182 | ACIERTOS = 46 31%
Epoca 182 | FALLOS = 104 69%
Epoca 183 | ACIERTOS = 46 31%
Epoca 183 | FALLOS = 104 69%
Epoca 184 | ACIERTOS = 46 31%
Epoca 184 | FALLOS = 104 69%
Epoca 185 | ACIERTOS = 46 31%
Epoca 185 | FALLOS = 104 69%
Epoca 186 | ACIERTOS = 46 31%
Epoca 186 | FALLOS = 104 69%
Epoca 187 | ACIERTOS = 46 31%
