-0.40 -0.14 -0.42 0.43 
-0.30 0.32 -0.07 -0.42 
0.23 0.47 -0.50 0.14 
-0.27 -0.34 -0.03 0.04 
-0.34 0.10 0.11 0.08 
0.11 0.33 -0.25 -0.35 
0.33 0.30 -0.34 -0.32 0.49 -0.09 
0.15 -0.41 0.27 0.23 -0.48 0.47 
0.06 -0.04 -0.45 -0.21 -0.07 -0.45 
0.43 0.15 -0.29 -0.11 -0.31 -0.12 0.49 0.30 0.45 

##################LEARN##################
Epoca 133 | FALLOS = 96 64%
Epoca 134 | ACIERTOS = 54 36%
Epoca 134 | FALLOS = 96 64%
Epoca 135 | ACIERTOS = 54 36%
Epoca 135 | FALLOS = 96 64%
Epoca 136 | ACIERTOS = 54 36%
Epoca 136 | FALLOS = 96 64%
Epoca 137 | ACIERTOS = 55 37%
Epoca 137 | FALLOS = 95 63%
Epoca 138 | ACIERTOS = 54 36%
Epoca 138 | FALLOS = 96 64%
Epoca 139 | ACIERTOS = 54 36%
Epoca 139 | FALLOS = 96 64%
Epoca 140 | ACIERTOS = 54 36%
Epoca 140 | FALLOS = 96 64%
Epoca 141 | ACIERTOS = 54 36%
Epoca 141 | FALLOS = 96 64%
Epoca 142 | ACIERTOS = 54 36%
Epoca 142 | FALLOS = 96 64%
Epoca 143 | ACIERTOS = 54 36%
Epoca 143 | FALLOS = 96 64%
Epoca 144 | ACIERTOS = 54 36%
Epoca 144 | FALLOS = 96 64%
Epoca 145 | ACIERTOS = 54 36%
Epoca 145 | FALLOS = 96 64%
Epoca 146 | ACIERTOS = 54 36%
Epoca 146 | FALLOS = 96 64%
Epoca 147 | ACIERTOS = 54 36%
Epoca 147 | FALLOS = 96 64%
Epoca 148 | ACIERTOS = 54 36%
Epoca 148 | FALLOS = 96 64%
Epoca 149 | ACIERTOS = 54 36%
Epoca 149 | FALLOS = 96 64%
Epoca 150 | ACIERTOS = 54 36%
Epoca 150 | FALLOS = 96 64%
Epoca 151 | ACIERTOS = 54 36%
Epoca 151 | FALLOS = 96 64%
Epoca 152 | ACIERTOS = 54 36%
Epoca 152 | FALLOS = 96 64%
Epoca 153 | ACIERTOS = 54 36%
Epoca 153 | FALLOS = 96 64%
