-0.40 -0.14 -0.42 0.43 
-0.30 0.32 -0.07 -0.42 
0.23 0.47 -0.50 0.14 
-0.27 -0.34 -0.03 0.04 
-0.34 0.10 0.11 0.08 
0.11 0.33 -0.25 -0.35 
0.33 0.30 -0.34 -0.32 
0.49 -0.09 0.15 -0.41 0.27 0.23 -0.48 
0.47 0.06 -0.04 -0.45 -0.21 -0.07 -0.45 
0.43 0.15 -0.29 -0.11 -0.31 -0.12 0.49 
0.30 0.45 0.11 0.13 -0.30 0.26 -0.04 -0.50 0.41 0.14 

##################LEARN##################
Epoca 188 | ACIERTOS = 52 35%
Epoca 188 | FALLOS = 98 65%
Epoca 189 | ACIERTOS = 52 35%
Epoca 189 | FALLOS = 98 65%
Epoca 190 | ACIERTOS = 52 35%
Epoca 190 | FALLOS = 98 65%
Epoca 191 | ACIERTOS = 52 35%
Epoca 191 | FALLOS = 98 65%
Epoca 192 | ACIERTOS = 52 35%
Epoca 192 | FALLOS = 98 65%
Epoca 193 | ACIERTOS = 52 35%
Epoca 193 | FALLOS = 98 65%
Epoca 194 | ACIERTOS = 52 35%
Epoca 194 | FALLOS = 98 65%
Epoca 195 | ACIERTOS = 52 35%
Epoca 195 | FALLOS = 98 65%
Epoca 196 | ACIERTOS = 52 35%
Epoca 196 | FALLOS = 98 65%
Epoca 197 | ACIERTOS = 52 35%
Epoca 197 | FALLOS = 98 65%
Epoca 198 | ACIERTOS = 52 35%
Epoca 198 | FALLOS = 98 65%
Epoca 199 | ACIERTOS = 52 35%
Epoca 199 | FALLOS = 98 65%
Epoca 200 | ACIERTOS = 52 35%
Epoca 200 | FALLOS = 98 65%
Epoca 201 | ACIERTOS = 52 35%
Epoca 201 | FALLOS = 98 65%
Epoca 202 | ACIERTOS = 52 35%
Epoca 202 | FALLOS = 98 65%
Epoca 203 | ACIERTOS = 52 35%
Epoca 203 | FALLOS = 98 65%
Epoca 204 | ACIERTOS = 52 35%
Epoca 204 | FALLOS = 98 65%
Epoca 205 | ACIERTOS = 52 35%
Epoca 205 | FALLOS = 98 65%
Epoca 206 | ACIERTOS = 52 35%
Epoca 206 | FALLOS = 98 65%
Epoca 207 | ACIERTOS = 52 35%
Epoca 207 | FALLOS = 98 65%
Epoca 208 | ACIERTOS = 52 35%
Epoca 208 | FALLOS = 98 65%
Epoca 209 | ACIERTOS = 52 35%
Epoca 209 | FALLOS = 98 65%
Epoca 210 | ACIERTOS = 52 35%
Epoca 210 | FALLOS = 98 65%
Epoca 211 | ACIERTOS = 52 35%
Epoca 211 | FALLOS = 98 65%
Epoca 212 | ACIERTOS = 52 35%
Epoca 212 | FALLOS = 98 65%
Epoca 213 | ACIERTOS = 52 35%
Epoca 213 | FALLOS = 98 65%
Epoca 214 | ACIERTOS = 52 35%
Epoca 214 | FALLOS = 98 65%
Epoca 215 | ACIERTOS = 52 35%
Epoca 215 | FALLOS = 98 65%
Epoca 216 | ACIERTOS = 52 35%
Epoca 216 | FALLOS = 98 65%
Epoca 217 | ACIERTOS = 52 35%
Epoca 217 | FALLOS = 98 65%
Epoca 218 | ACIERTOS = 52 35%
Epoca 218 | FALLOS = 98 65%
Epoca 219 | ACIERTOS = 52 35%
Epoca 219 | FALLOS = 98 65%
Epoca 220 | ACIERTOS = 52 35%
Epoca 220 | FALLOS = 98 65%
Epoca 221 | ACIERTOS = 52 35%
Epoca 221 | FALLOS = 98 65%
Epoca 222 | ACIERTOS = 54 36%
Epoca 222 | FALLOS = 96 64%
Epoca 223 | ACIERTOS = 51 34%
Epoca 223 | FALLOS = 99 66%
Epoca 224 | ACIERTOS = 52 35%
Epoca 224 | FALLOS = 98 65%
Epoca 225 | ACIERTOS = 52 35%
Epoca 225 | FALLOS = 98 65%
Epoca 226 | ACIERTOS = 52 35%
Epoca 226 | FALLOS = 98 65%
Epoca 227 | ACIERTOS = 52 35%
Epoca 227 | FALLOS = 98 65%
Epoca 228 | ACIERTOS = 52 35%
Epoca 228 | FALLOS = 98 65%
Epoca 229 | ACIERTOS = 52 35%
Epoca 229 | FALLOS = 98 65%
Epoca 230 | ACIERTOS = 52 35%
Epoca 230 | FALLOS = 98 65%
Epoca 231 | ACIERTOS = 52 35%
Epoca 231 | FALLOS = 98 65%
Epoca 232 | ACIERTOS = 52 35%
Epoca 232 | FALLOS = 98 65%
Epoca 233 | ACIERTOS = 52 35%
Epoca 233 | FALLOS = 98 65%
Epoca 234 | ACIERTOS = 52 35%
Epoca 234 | FALLOS = 98 65%
Epoca 235 | ACIERTOS = 52 35%
Epoca 235 | FALLOS = 98 65%
Epoca 236 | ACIERTOS = 52 35%
Epoca 236 | FALLOS = 98 65%
Epoca 237 | ACIERTOS = 52 35%
Epoca 237 | FALLOS = 98 65%
Epoca 238 | ACIERTOS = 52 35%
Epoca 238 | FALLOS = 98 65%
Epoca 239 | ACIERTOS = 52 35%
Epoca 239 | FALLOS = 98 65%
Epoca 240 | ACIERTOS = 52 35%
