0.31 0.28 0.35 -0.41 
-0.39 0.45 0.18 -0.27 
0.21 -0.19 -0.05 -0.34 
0.05 0.34 -0.30 0.09 
-0.04 0.35 -0.43 0.00 
0.47 0.09 -0.16 -0.17 
0.40 -0.36 0.14 0.36 
-0.46 0.35 0.17 0.35 
0.13 0.01 0.44 0.25 -0.03 0.12 0.47 -0.32 
0.43 -0.07 -0.17 -0.02 -0.23 0.03 -0.43 0.23 
-0.12 -0.36 -0.27 -0.15 0.23 0.07 0.18 0.13 
0.21 -0.19 -0.01 0.25 -0.33 -0.34 0.10 0.30 0.17 0.04 0.05 

##################LEARN##################
Epoca 204 | ACIERTOS = 47 31%
Epoca 204 | FALLOS = 103 69%
Epoca 205 | ACIERTOS = 47 31%
Epoca 205 | FALLOS = 103 69%
Epoca 206 | ACIERTOS = 47 31%
Epoca 206 | FALLOS = 103 69%
Epoca 207 | ACIERTOS = 47 31%
Epoca 207 | FALLOS = 103 69%
Epoca 208 | ACIERTOS = 47 31%
Epoca 208 | FALLOS = 103 69%
Epoca 209 | ACIERTOS = 47 31%
Epoca 209 | FALLOS = 103 69%
Epoca 210 | ACIERTOS = 47 31%
Epoca 210 | FALLOS = 103 69%
Epoca 211 | ACIERTOS = 47 31%
Epoca 211 | FALLOS = 103 69%
Epoca 212 | ACIERTOS = 47 31%
Epoca 212 | FALLOS = 103 69%
Epoca 213 | ACIERTOS = 47 31%
Epoca 213 | FALLOS = 103 69%
Epoca 214 | ACIERTOS = 47 31%
Epoca 214 | FALLOS = 103 69%
Epoca 215 | ACIERTOS = 47 31%
Epoca 215 | FALLOS = 103 69%
Epoca 216 | ACIERTOS = 47 31%
Epoca 216 | FALLOS = 103 69%
Epoca 217 | ACIERTOS = 47 31%
Epoca 217 | FALLOS = 103 69%
Epoca 218 | ACIERTOS = 47 31%
Epoca 218 | FALLOS = 103 69%
Epoca 219 | ACIERTOS = 47 31%
Epoca 219 | FALLOS = 103 69%
Epoca 220 | ACIERTOS = 47 31%
Epoca 220 | FALLOS = 103 69%
Epoca 221 | ACIERTOS = 47 31%
Epoca 221 | FALLOS = 103 69%
Epoca 222 | ACIERTOS = 47 31%
Epoca 222 | FALLOS = 103 69%
Epoca 223 | ACIERTOS = 47 31%
Epoca 223 | FALLOS = 103 69%
Epoca 224 | ACIERTOS = 47 31%
Epoca 224 | FALLOS = 103 69%
Epoca 225 | ACIERTOS = 47 31%
Epoca 225 | FALLOS = 103 69%
Epoca 226 | ACIERTOS = 47 31%
Epoca 226 | FALLOS = 103 69%
Epoca 227 | ACIERTOS = 47 31%
Epoca 227 | FALLOS = 103 69%
Epoca 228 | ACIERTOS = 47 31%
Epoca 228 | FALLOS = 103 69%
Epoca 229 | ACIERTOS = 47 31%
Epoca 229 | FALLOS = 103 69%
Epoca 230 | ACIERTOS = 47 31%
Epoca 230 | FALLOS = 103 69%
Epoca 231 | ACIERTOS = 47 31%
Epoca 231 | FALLOS = 103 69%
Epoca 232 | ACIERTOS = 47 31%
Epoca 232 | FALLOS = 103 69%
Epoca 233 | ACIERTOS = 47 31%
Epoca 233 | FALLOS = 103 69%
Epoca 234 | ACIERTOS = 47 31%
Epoca 234 | FALLOS = 103 69%
Epoca 235 | ACIERTOS = 47 31%
Epoca 235 | FALLOS = 103 69%
Epoca 236 | ACIERTOS = 47 31%
Epoca 236 | FALLOS = 103 69%
Epoca 237 | ACIERTOS = 47 31%
Epoca 237 | FALLOS = 103 69%
Epoca 238 | ACIERTOS = 47 31%
Epoca 238 | FALLOS = 103 69%
Epoca 239 | ACIERTOS = 47 31%
Epoca 239 | FALLOS = 103 69%
Epoca 240 | ACIERTOS = 47 31%
Epoca 240 | FALLOS = 103 69%
Epoca 241 | ACIERTOS = 47 31%
Epoca 241 | FALLOS = 103 69%
Epoca 242 | ACIERTOS = 47 31%
Epoca 242 | FALLOS = 103 69%
Epoca 243 | ACIERTOS = 47 31%
Epoca 243 | FALLOS = 103 69%
Epoca 244 | ACIERTOS = 47 31%
Epoca 244 | FALLOS = 103 69%
Epoca 245 | ACIERTOS = 47 31%
Epoca 245 | FALLOS = 103 69%
Epoca 246 | ACIERTOS = 47 31%
Epoca 246 | FALLOS = 103 69%
Epoca 247 | ACIERTOS = 47 31%
Epoca 247 | FALLOS = 103 69%
Epoca 248 | ACIERTOS = 47 31%
Epoca 248 | FALLOS = 103 69%
Epoca 249 | ACIERTOS = 47 31%
Epoca 249 | FALLOS = 103 69%
Epoca 250 | ACIERTOS = 47 31%
Epoca 250 | FALLOS = 103 69%
Epoca 251 | ACIERTOS = 47 31%
Epoca 251 | FALLOS = 103 69%
Epoca 252 | ACIERTOS = 47 31%
Epoca 252 | FALLOS = 103 69%
Epoca 253 | ACIERTOS = 47 31%
Epoca 253 | FALLOS = 103 69%
Epoca 254 | ACIERTOS = 47 31%
Epoca 254 | FALLOS = 103 69%
Epoca 255 | ACIERTOS = 47 31%
Epoca 255 | FALLOS = 103 69%
Epoca 256 | ACIERTOS = 47 31%
Epoca 256 | FALLOS = 103 69%
Epoca 257 | ACIERTOS = 47 31%
Epoca 257 | FALLOS = 103 69%
Epoca 258 | ACIERTOS = 47 31%
Epoca 258 | FALLOS = 103 69%
Epoca 259 | ACIERTOS = 47 31%
Epoca 259 | FALLOS = 103 69%
Epoca 260 | ACIERTOS = 47 31%
Epoca 260 | FALLOS = 103 69%
Epoca 261 | ACIERTOS = 47 31%
Epoca 261 | FALLOS = 103 69%
Epoca 262 | ACIERTOS = 47 31%
Epoca 262 | FALLOS = 103 69%
Epoca 263 | ACIERTOS = 47 31%
Epoca 263 | FALLOS = 103 69%
Epoca 264 | ACIERTOS = 47 31%
Epoca 264 | FALLOS = 103 69%
Epoca 265 | ACIERTOS = 47 31%
Epoca 265 | FALLOS = 103 69%
Epoca 266 | ACIERTOS = 47 31%
Epoca 266 | FALLOS = 103 69%
Epoca 267 | ACIERTOS = 47 31%
Epoca 267 | FALLOS = 103 69%
Epoca 268 | ACIERTOS = 47 31%
Epoca 268 | FALLOS = 103 69%
Epoca 269 | ACIERTOS = 47 31%
Epoca 269 | FALLOS = 103 69%
Epoca 270 | ACIERTOS = 47 31%
Epoca 270 | FALLOS = 103 69%
Epoca 271 | ACIERTOS = 47 31%
Epoca 271 | FALLOS = 103 69%
Epoca 272 | ACIERTOS = 47 31%
Epoca 272 | FALLOS = 103 69%
Epoca 273 | ACIERTOS = 47 31%
Epoca 273 | FALLOS = 103 69%
Epoca 274 | ACIERTOS = 47 31%
Epoca 274 | FALLOS = 103 69%
Epoca 275 | ACIERTOS = 47 31%
Epoca 275 | FALLOS = 103 69%
Epoca 276 | ACIERTOS = 47 31%
Epoca 276 | FALLOS = 103 69%
Epoca 277 | ACIERTOS = 47 31%
Epoca 277 | FALLOS = 103 69%
Epoca 278 | ACIERTOS = 47 31%
Epoca 278 | FALLOS = 103 69%
Epoca 279 | ACIERTOS = 47 31%
Epoca 279 | FALLOS = 103 69%
Epoca 280 | ACIERTOS = 47 31%
Epoca 280 | FALLOS = 103 69%
Epoca 281 | ACIERTOS = 47 31%
Epoca 281 | FALLOS = 103 69%
Epoca 282 | ACIERTOS = 47 31%
Epoca 282 | FALLOS = 103 69%
Epoca 283 | ACIERTOS = 47 31%
Epoca 283 | FALLOS = 103 69%
Epoca 284 | ACIERTOS = 47 31%
Epoca 284 | FALLOS = 103 69%
Epoca 285 | ACIERTOS = 47 31%
Epoca 285 | FALLOS = 103 69%
Epoca 286 | ACIERTOS = 47 31%
Epoca 286 | FALLOS = 103 69%
Epoca 287 | ACIERTOS = 47 31%
Epoca 287 | FALLOS = 103 69%
Epoca 288 | ACIERTOS = 47 31%
Epoca 288 | FALLOS = 103 69%
Epoca 289 | ACIERTOS = 47 31%
Epoca 289 | FALLOS = 103 69%
Epoca 290 | ACIERTOS = 47 31%
Epoca 290 | FALLOS = 103 69%
Epoca 291 | ACIERTOS = 47 31%
Epoca 291 | FALLOS = 103 69%
Epoca 292 | ACIERTOS = 47 31%
Epoca 292 | FALLOS = 103 69%
Epoca 293 | ACIERTOS = 47 31%
Epoca 293 | FALLOS = 103 69%
Epoca 294 | ACIERTOS = 47 31%
Epoca 294 | FALLOS = 103 69%
Epoca 295 | ACIERTOS = 47 31%
Epoca 295 | FALLOS = 103 69%
Epoca 296 | ACIERTOS = 47 31%
Epoca 296 | FALLOS = 103 69%
Epoca 297 | ACIERTOS = 47 31%
Epoca 297 | FALLOS = 103 69%
Epoca 298 | ACIERTOS = 47 31%
Epoca 298 | FALLOS = 103 69%
Epoca 299 | ACIERTOS = 47 31%
Epoca 299 | FALLOS = 103 69%
Epoca 300 | ACIERTOS = 47 31%
Epoca 300 | FALLOS = 103 69%
Epoca 301 | ACIERTOS = 47 31%
Epoca 301 | FALLOS = 103 69%
Epoca 302 | ACIERTOS = 47 31%
Epoca 302 | FALLOS = 103 69%
Epoca 303 | ACIERTOS = 47 31%
Epoca 303 | FALLOS = 103 69%
Epoca 304 | ACIERTOS = 47 31%
Epoca 304 | FALLOS = 103 69%
Epoca 305 | ACIERTOS = 47 31%
Epoca 305 | FALLOS = 103 69%
Epoca 306 | ACIERTOS = 47 31%
Epoca 306 | FALLOS = 103 69%
Epoca 307 | ACIERTOS = 47 31%
Epoca 307 | FALLOS = 103 69%
Epoca 308 | ACIERTOS = 47 31%
Epoca 308 | FALLOS = 103 69%
Epoca 309 | ACIERTOS = 47 31%
Epoca 309 | FALLOS = 103 69%
