0.47 0.31 
0.15 -0.04 
-0.45 -0.36 
-0.21 0.18 
0.17 -0.40 -0.40 0.39 
0.28 -0.43 -0.49 0.22 
-0.00 0.04 -0.24 0.48 0.11 0.22 

##################LEARN##################
Epoca 190 | FALLOS = 4 100%
Epoca 191 | ACIERTOS = 0 0%
Epoca 191 | FALLOS = 4 100%
Epoca 192 | ACIERTOS = 0 0%
Epoca 192 | FALLOS = 4 100%
Epoca 193 | ACIERTOS = 0 0%
Epoca 193 | FALLOS = 4 100%
Epoca 194 | ACIERTOS = 0 0%
Epoca 194 | FALLOS = 4 100%
Epoca 195 | ACIERTOS = 0 0%
Epoca 195 | FALLOS = 4 100%
Epoca 196 | ACIERTOS = 0 0%
Epoca 196 | FALLOS = 4 100%
Epoca 197 | ACIERTOS = 0 0%
Epoca 197 | FALLOS = 4 100%
Epoca 198 | ACIERTOS = 0 0%
Epoca 198 | FALLOS = 4 100%
Epoca 199 | ACIERTOS = 0 0%
Epoca 199 | FALLOS = 4 100%
Epoca 200 | ACIERTOS = 0 0%
Epoca 200 | FALLOS = 4 100%
Epoca 201 | ACIERTOS = 0 0%
Epoca 201 | FALLOS = 4 100%
Epoca 202 | ACIERTOS = 0 0%
Epoca 202 | FALLOS = 4 100%
Epoca 203 | ACIERTOS = 0 0%
Epoca 203 | FALLOS = 4 100%
Epoca 204 | ACIERTOS = 0 0%
Epoca 204 | FALLOS = 4 100%
Epoca 205 | ACIERTOS = 0 0%
Epoca 205 | FALLOS = 4 100%
Epoca 206 | ACIERTOS = 0 0%
Epoca 206 | FALLOS = 4 100%
Epoca 207 | ACIERTOS = 0 0%
Epoca 207 | FALLOS = 4 100%
Epoca 208 | ACIERTOS = 0 0%
Epoca 208 | FALLOS = 4 100%
Epoca 209 | ACIERTOS = 0 0%
Epoca 209 | FALLOS = 4 100%
Epoca 210 | ACIERTOS = 0 0%
Epoca 210 | FALLOS = 4 100%
Epoca 211 | ACIERTOS = 0 0%
Epoca 211 | FALLOS = 4 100%
Epoca 212 | ACIERTOS = 0 0%
Epoca 212 | FALLOS = 4 100%
Epoca 213 | ACIERTOS = 0 0%
Epoca 213 | FALLOS = 4 100%
Epoca 214 | ACIERTOS = 0 0%
Epoca 214 | FALLOS = 4 100%
Epoca 215 | ACIERTOS = 0 0%
Epoca 215 | FALLOS = 4 100%
Epoca 216 | ACIERTOS = 0 0%
Epoca 216 | FALLOS = 4 100%
Epoca 217 | ACIERTOS = 0 0%
Epoca 217 | FALLOS = 4 100%
Epoca 218 | ACIERTOS = 0 0%
Epoca 218 | FALLOS = 4 100%
Epoca 219 | ACIERTOS = 0 0%
Epoca 219 | FALLOS = 4 100%
Epoca 220 | ACIERTOS = 0 0%
Epoca 220 | FALLOS = 4 100%
Epoca 221 | ACIERTOS = 0 0%
Epoca 221 | FALLOS = 4 100%
Epoca 222 | ACIERTOS = 0 0%
Epoca 222 | FALLOS = 4 100%
Epoca 223 | ACIERTOS = 0 0%
Epoca 223 | FALLOS = 4 100%
Epoca 224 | ACIERTOS = 0 0%
Epoca 224 | FALLOS = 4 100%
Epoca 225 | ACIERTOS = 0 0%
Epoca 225 | FALLOS = 4 100%
Epoca 226 | ACIERTOS = 0 0%
Epoca 226 | FALLOS = 4 100%
Epoca 227 | ACIERTOS = 0 0%
Epoca 227 | FALLOS = 4 100%
Epoca 228 | ACIERTOS = 0 0%
Epoca 228 | FALLOS = 4 100%
Epoca 229 | ACIERTOS = 0 0%
Epoca 229 | FALLOS = 4 100%
Epoca 230 | ACIERTOS = 0 0%
Epoca 230 | FALLOS = 4 100%
Epoca 231 | ACIERTOS = 0 0%
Epoca 231 | FALLOS = 4 100%
Epoca 232 | ACIERTOS = 0 0%
Epoca 232 | FALLOS = 4 100%
Epoca 233 | ACIERTOS = 0 0%
Epoca 233 | FALLOS = 4 100%
Epoca 234 | ACIERTOS = 0 0%
Epoca 234 | FALLOS = 4 100%
Epoca 235 | ACIERTOS = 0 0%
Epoca 235 | FALLOS = 4 100%
Epoca 236 | ACIERTOS = 0 0%
Epoca 236 | FALLOS = 4 100%
Epoca 237 | ACIERTOS = 0 0%
Epoca 237 | FALLOS = 4 100%
Epoca 238 | ACIERTOS = 0 0%
Epoca 238 | FALLOS = 4 100%
Epoca 239 | ACIERTOS = 0 0%
Epoca 239 | FALLOS = 4 100%
Epoca 240 | ACIERTOS = 0 0%
Epoca 240 | FALLOS = 4 100%
Epoca 241 | ACIERTOS = 0 0%
Epoca 241 | FALLOS = 4 100%
Epoca 242 | ACIERTOS = 0 0%
Epoca 242 | FALLOS = 4 100%
Epoca 243 | ACIERTOS = 0 0%
Epoca 243 | FALLOS = 4 100%
Epoca 244 | ACIERTOS = 0 0%
Epoca 244 | FALLOS = 4 100%
Epoca 245 | ACIERTOS = 0 0%
Epoca 245 | FALLOS = 4 100%
Epoca 246 | ACIERTOS = 0 0%
Epoca 246 | FALLOS = 4 100%
Epoca 247 | ACIERTOS = 0 0%
Epoca 247 | FALLOS = 4 100%
Epoca 248 | ACIERTOS = 0 0%
Epoca 248 | FALLOS = 4 100%
Epoca 249 | ACIERTOS = 0 0%
Epoca 249 | FALLOS = 4 100%
Epoca 250 | ACIERTOS = 0 0%
Epoca 250 | FALLOS = 4 100%
Epoca 251 | ACIERTOS = 0 0%
Epoca 251 | FALLOS = 4 100%
Epoca 252 | ACIERTOS = 0 0%
Epoca 252 | FALLOS = 4 100%
Epoca 253 | ACIERTOS = 0 0%
Epoca 253 | FALLOS = 4 100%
Epoca 254 | ACIERTOS = 0 0%
Epoca 254 | FALLOS = 4 100%
Epoca 255 | ACIERTOS = 0 0%
Epoca 255 | FALLOS = 4 100%
Epoca 256 | ACIERTOS = 0 0%
Epoca 256 | FALLOS = 4 100%
Epoca 257 | ACIERTOS = 0 0%
Epoca 257 | FALLOS = 4 100%
Epoca 258 | ACIERTOS = 0 0%
Epoca 258 | FALLOS = 4 100%
Epoca 259 | ACIERTOS = 0 0%
Epoca 259 | FALLOS = 4 100%
Epoca 260 | ACIERTOS = 0 0%
Epoca 260 | FALLOS = 4 100%
Epoca 261 | ACIERTOS = 0 0%
Epoca 261 | FALLOS = 4 100%
Epoca 262 | ACIERTOS = 0 0%
Epoca 262 | FALLOS = 4 100%
Epoca 263 | ACIERTOS = 0 0%
Epoca 263 | FALLOS = 4 100%
Epoca 264 | ACIERTOS = 0 0%
Epoca 264 | FALLOS = 4 100%
Epoca 265 | ACIERTOS = 0 0%
Epoca 265 | FALLOS = 4 100%
Epoca 266 | ACIERTOS = 0 0%
Epoca 266 | FALLOS = 4 100%
Epoca 267 | ACIERTOS = 0 0%
Epoca 267 | FALLOS = 4 100%
Epoca 268 | ACIERTOS = 0 0%
Epoca 268 | FALLOS = 4 100%
Epoca 269 | ACIERTOS = 0 0%
Epoca 269 | FALLOS = 4 100%
Epoca 270 | ACIERTOS = 0 0%
Epoca 270 | FALLOS = 4 100%
Epoca 271 | ACIERTOS = 0 0%
Epoca 271 | FALLOS = 4 100%
Epoca 272 | ACIERTOS = 0 0%
Epoca 272 | FALLOS = 4 100%
Epoca 273 | ACIERTOS = 0 0%
Epoca 273 | FALLOS = 4 100%
Epoca 274 | ACIERTOS = 0 0%
Epoca 274 | FALLOS = 4 100%
Epoca 275 | ACIERTOS = 0 0%
Epoca 275 | FALLOS = 4 100%
Epoca 276 | ACIERTOS = 0 0%
Epoca 276 | FALLOS = 4 100%
Epoca 277 | ACIERTOS = 0 0%
Epoca 277 | FALLOS = 4 100%
Epoca 278 | ACIERTOS = 0 0%
Epoca 278 | FALLOS = 4 100%
Epoca 279 | ACIERTOS = 0 0%
Epoca 279 | FALLOS = 4 100%
Epoca 280 | ACIERTOS = 0 0%
Epoca 280 | FALLOS = 4 100%
Epoca 281 | ACIERTOS = 0 0%
Epoca 281 | FALLOS = 4 100%
Epoca 282 | ACIERTOS = 0 0%
Epoca 282 | FALLOS = 4 100%
Epoca 283 | ACIERTOS = 0 0%
Epoca 283 | FALLOS = 4 100%
Epoca 284 | ACIERTOS = 0 0%
Epoca 284 | FALLOS = 4 100%
Epoca 285 | ACIERTOS = 0 0%
Epoca 285 | FALLOS = 4 100%
Epoca 286 | ACIERTOS = 0 0%
Epoca 286 | FALLOS = 4 100%
Epoca 287 | ACIERTOS = 0 0%
Epoca 287 | FALLOS = 4 100%
Epoca 288 | ACIERTOS = 0 0%
Epoca 288 | FALLOS = 4 100%
Epoca 289 | ACIERTOS = 0 0%
Epoca 289 | FALLOS = 4 100%
Epoca 290 | ACIERTOS = 0 0%
Epoca 290 | FALLOS = 4 100%
Epoca 291 | ACIERTOS = 0 0%
Epoca 291 | FALLOS = 4 100%
Epoca 292 | ACIERTOS = 0 0%
Epoca 292 | FALLOS = 4 100%
Epoca 293 | ACIERTOS = 0 0%
Epoca 293 | FALLOS = 4 100%
Epoca 294 | ACIERTOS = 0 0%
Epoca 294 | FALLOS = 4 100%
Epoca 295 | ACIERTOS = 0 0%
Epoca 295 | FALLOS = 4 100%
Epoca 296 | ACIERTOS = 0 0%
Epoca 296 | FALLOS = 4 100%
Epoca 297 | ACIERTOS = 0 0%
Epoca 297 | FALLOS = 4 100%
Epoca 298 | ACIERTOS = 0 0%
Epoca 298 | FALLOS = 4 100%
Epoca 299 | ACIERTOS = 0 0%
Epoca 299 | FALLOS = 4 100%
Epoca 300 | ACIERTOS = 0 0%
Epoca 300 | FALLOS = 4 100%
Epoca 301 | ACIERTOS = 0 0%
Epoca 301 | FALLOS = 4 100%
Epoca 302 | ACIERTOS = 0 0%
Epoca 302 | FALLOS = 4 100%
Epoca 303 | ACIERTOS = 0 0%
Epoca 303 | FALLOS = 4 100%
Epoca 304 | ACIERTOS = 0 0%
Epoca 304 | FALLOS = 4 100%
Epoca 305 | ACIERTOS = 0 0%
Epoca 305 | FALLOS = 4 100%
Epoca 306 | ACIERTOS = 0 0%
Epoca 306 | FALLOS = 4 100%
Epoca 307 | ACIERTOS = 0 0%
Epoca 307 | FALLOS = 4 100%
Epoca 308 | ACIERTOS = 0 0%
Epoca 308 | FALLOS = 4 100%
Epoca 309 | ACIERTOS = 0 0%
Epoca 309 | FALLOS = 4 100%
Epoca 310 | ACIERTOS = 0 0%
Epoca 310 | FALLOS = 4 100%
Epoca 311 | ACIERTOS = 0 0%
Epoca 311 | FALLOS = 4 100%
Epoca 312 | ACIERTOS = 0 0%
Epoca 312 | FALLOS = 4 100%
Epoca 313 | ACIERTOS = 0 0%
