0.33 0.25 
-0.13 0.04 
-0.34 0.31 
0.31 0.49 
-0.03 -0.30 -0.43 0.31 

##################LEARN##################
Epoca 105 | ACIERTOS = 2 50%
Epoca 105 | FALLOS = 2 50%
Epoca 106 | ACIERTOS = 2 50%
Epoca 106 | FALLOS = 2 50%
Epoca 107 | ACIERTOS = 2 50%
Epoca 107 | FALLOS = 2 50%
Epoca 108 | ACIERTOS = 2 50%
Epoca 108 | FALLOS = 2 50%
Epoca 109 | ACIERTOS = 2 50%
Epoca 109 | FALLOS = 2 50%
Epoca 110 | ACIERTOS = 2 50%
Epoca 110 | FALLOS = 2 50%
Epoca 111 | ACIERTOS = 2 50%
Epoca 111 | FALLOS = 2 50%
Epoca 112 | ACIERTOS = 1 25%
Epoca 112 | FALLOS = 3 75%
Epoca 113 | ACIERTOS = 2 50%
Epoca 113 | FALLOS = 2 50%
Epoca 114 | ACIERTOS = 2 50%
Epoca 114 | FALLOS = 2 50%
Epoca 115 | ACIERTOS = 2 50%
Epoca 115 | FALLOS = 2 50%
Epoca 116 | ACIERTOS = 2 50%
Epoca 116 | FALLOS = 2 50%
Epoca 117 | ACIERTOS = 2 50%
Epoca 117 | FALLOS = 2 50%
Epoca 118 | ACIERTOS = 2 50%
Epoca 118 | FALLOS = 2 50%
Epoca 119 | ACIERTOS = 2 50%
Epoca 119 | FALLOS = 2 50%
Epoca 120 | ACIERTOS = 2 50%
Epoca 120 | FALLOS = 2 50%
Epoca 121 | ACIERTOS = 1 25%
Epoca 121 | FALLOS = 3 75%
Epoca 122 | ACIERTOS = 1 25%
Epoca 122 | FALLOS = 3 75%
Epoca 123 | ACIERTOS = 2 50%
Epoca 123 | FALLOS = 2 50%
Epoca 124 | ACIERTOS = 2 50%
Epoca 124 | FALLOS = 2 50%
Epoca 125 | ACIERTOS = 2 50%
Epoca 125 | FALLOS = 2 50%
Epoca 126 | ACIERTOS = 2 50%
Epoca 126 | FALLOS = 2 50%
Epoca 127 | ACIERTOS = 2 50%
Epoca 127 | FALLOS = 2 50%
Epoca 128 | ACIERTOS = 2 50%
Epoca 128 | FALLOS = 2 50%
Epoca 129 | ACIERTOS = 2 50%
Epoca 129 | FALLOS = 2 50%
Epoca 130 | ACIERTOS = 2 50%
Epoca 130 | FALLOS = 2 50%
Epoca 131 | ACIERTOS = 2 50%
Epoca 131 | FALLOS = 2 50%
Epoca 132 | ACIERTOS = 2 50%
Epoca 132 | FALLOS = 2 50%
Epoca 133 | ACIERTOS = 2 50%
Epoca 133 | FALLOS = 2 50%
Epoca 134 | ACIERTOS = 2 50%
Epoca 134 | FALLOS = 2 50%
Epoca 135 | ACIERTOS = 2 50%
Epoca 135 | FALLOS = 2 50%
Epoca 136 | ACIERTOS = 2 50%
Epoca 136 | FALLOS = 2 50%
Epoca 137 | ACIERTOS = 2 50%
Epoca 137 | FALLOS = 2 50%
Epoca 138 | ACIERTOS = 1 25%
Epoca 138 | FALLOS = 3 75%
Epoca 139 | ACIERTOS = 2 50%
Epoca 139 | FALLOS = 2 50%
Epoca 140 | ACIERTOS = 2 50%
Epoca 140 | FALLOS = 2 50%
Epoca 141 | ACIERTOS = 2 50%
Epoca 141 | FALLOS = 2 50%
Epoca 142 | ACIERTOS = 2 50%
Epoca 142 | FALLOS = 2 50%
Epoca 143 | ACIERTOS = 2 50%
Epoca 143 | FALLOS = 2 50%
Epoca 144 | ACIERTOS = 2 50%
Epoca 144 | FALLOS = 2 50%
Epoca 145 | ACIERTOS = 2 50%
Epoca 145 | FALLOS = 2 50%
Epoca 146 | ACIERTOS = 2 50%
Epoca 146 | FALLOS = 2 50%
Epoca 147 | ACIERTOS = 2 50%
Epoca 147 | FALLOS = 2 50%
Epoca 148 | ACIERTOS = 2 50%
Epoca 148 | FALLOS = 2 50%
Epoca 149 | ACIERTOS = 2 50%
Epoca 149 | FALLOS = 2 50%
Epoca 150 | ACIERTOS = 2 50%
Epoca 150 | FALLOS = 2 50%
Epoca 151 | ACIERTOS = 2 50%
Epoca 151 | FALLOS = 2 50%
Epoca 152 | ACIERTOS = 2 50%
Epoca 152 | FALLOS = 2 50%
Epoca 153 | ACIERTOS = 2 50%
Epoca 153 | FALLOS = 2 50%
Epoca 154 | ACIERTOS = 2 50%
Epoca 154 | FALLOS = 2 50%
Epoca 155 | ACIERTOS = 2 50%
Epoca 155 | FALLOS = 2 50%
Epoca 156 | ACIERTOS = 2 50%
Epoca 156 | FALLOS = 2 50%
Epoca 157 | ACIERTOS = 2 50%
Epoca 157 | FALLOS = 2 50%
Epoca 158 | ACIERTOS = 2 50%
Epoca 158 | FALLOS = 2 50%
Epoca 159 | ACIERTOS = 2 50%
