0.47 0.31 
0.15 -0.04 
-0.45 -0.36 
-0.21 0.18 0.17 
-0.40 -0.40 0.39 
0.28 -0.43 -0.49 0.22 -0.00 

##################LEARN##################
Epoca 153 | ACIERTOS = 4 100%
Epoca 153 | FALLOS = 0 0%
Epoca 154 | ACIERTOS = 4 100%
Epoca 154 | FALLOS = 0 0%
Epoca 155 | ACIERTOS = 4 100%
Epoca 155 | FALLOS = 0 0%
Epoca 156 | ACIERTOS = 4 100%
Epoca 156 | FALLOS = 0 0%
Epoca 157 | ACIERTOS = 4 100%
Epoca 157 | FALLOS = 0 0%
Epoca 158 | ACIERTOS = 4 100%
Epoca 158 | FALLOS = 0 0%
Epoca 159 | ACIERTOS = 4 100%
Epoca 159 | FALLOS = 0 0%
Epoca 160 | ACIERTOS = 4 100%
Epoca 160 | FALLOS = 0 0%
Epoca 161 | ACIERTOS = 4 100%
Epoca 161 | FALLOS = 0 0%
Epoca 162 | ACIERTOS = 4 100%
Epoca 162 | FALLOS = 0 0%
Epoca 163 | ACIERTOS = 4 100%
Epoca 163 | FALLOS = 0 0%
Epoca 164 | ACIERTOS = 4 100%
Epoca 164 | FALLOS = 0 0%
Epoca 165 | ACIERTOS = 4 100%
Epoca 165 | FALLOS = 0 0%
Epoca 166 | ACIERTOS = 4 100%
Epoca 166 | FALLOS = 0 0%
Epoca 167 | ACIERTOS = 4 100%
Epoca 167 | FALLOS = 0 0%
Epoca 168 | ACIERTOS = 4 100%
Epoca 168 | FALLOS = 0 0%
Epoca 169 | ACIERTOS = 4 100%
Epoca 169 | FALLOS = 0 0%
Epoca 170 | ACIERTOS = 4 100%
Epoca 170 | FALLOS = 0 0%
Epoca 171 | ACIERTOS = 4 100%
Epoca 171 | FALLOS = 0 0%
Epoca 172 | ACIERTOS = 4 100%
Epoca 172 | FALLOS = 0 0%
Epoca 173 | ACIERTOS = 4 100%
Epoca 173 | FALLOS = 0 0%
Epoca 174 | ACIERTOS = 4 100%
Epoca 174 | FALLOS = 0 0%
Epoca 175 | ACIERTOS = 4 100%
Epoca 175 | FALLOS = 0 0%
Epoca 176 | ACIERTOS = 4 100%
Epoca 176 | FALLOS = 0 0%
Epoca 177 | ACIERTOS = 4 100%
Epoca 177 | FALLOS = 0 0%
Epoca 178 | ACIERTOS = 4 100%
Epoca 178 | FALLOS = 0 0%
Epoca 179 | ACIERTOS = 4 100%
Epoca 179 | FALLOS = 0 0%
Epoca 180 | ACIERTOS = 4 100%
Epoca 180 | FALLOS = 0 0%
Epoca 181 | ACIERTOS = 4 100%
Epoca 181 | FALLOS = 0 0%
Epoca 182 | ACIERTOS = 4 100%
Epoca 182 | FALLOS = 0 0%
Epoca 183 | ACIERTOS = 4 100%
Epoca 183 | FALLOS = 0 0%
Epoca 184 | ACIERTOS = 4 100%
Epoca 184 | FALLOS = 0 0%
Epoca 185 | ACIERTOS = 4 100%
Epoca 185 | FALLOS = 0 0%
Epoca 186 | ACIERTOS = 4 100%
Epoca 186 | FALLOS = 0 0%
Epoca 187 | ACIERTOS = 4 100%
Epoca 187 | FALLOS = 0 0%
Epoca 188 | ACIERTOS = 4 100%
Epoca 188 | FALLOS = 0 0%
Epoca 189 | ACIERTOS = 4 100%
Epoca 189 | FALLOS = 0 0%
Epoca 190 | ACIERTOS = 4 100%
Epoca 190 | FALLOS = 0 0%
Epoca 191 | ACIERTOS = 4 100%
Epoca 191 | FALLOS = 0 0%
Epoca 192 | ACIERTOS = 4 100%
Epoca 192 | FALLOS = 0 0%
Epoca 193 | ACIERTOS = 4 100%
Epoca 193 | FALLOS = 0 0%
Epoca 194 | ACIERTOS = 4 100%
Epoca 194 | FALLOS = 0 0%
Epoca 195 | ACIERTOS = 4 100%
Epoca 195 | FALLOS = 0 0%
Epoca 196 | ACIERTOS = 4 100%
Epoca 196 | FALLOS = 0 0%
Epoca 197 | ACIERTOS = 4 100%
Epoca 197 | FALLOS = 0 0%
Epoca 198 | ACIERTOS = 4 100%
Epoca 198 | FALLOS = 0 0%
Epoca 199 | ACIERTOS = 4 100%
Epoca 199 | FALLOS = 0 0%
Epoca 200 | ACIERTOS = 4 100%
Epoca 200 | FALLOS = 0 0%
Epoca 201 | ACIERTOS = 4 100%
Epoca 201 | FALLOS = 0 0%
Epoca 202 | ACIERTOS = 4 100%
Epoca 202 | FALLOS = 0 0%
Epoca 203 | ACIERTOS = 4 100%
Epoca 203 | FALLOS = 0 0%
Epoca 204 | ACIERTOS = 4 100%
Epoca 204 | FALLOS = 0 0%
Epoca 205 | ACIERTOS = 4 100%
Epoca 205 | FALLOS = 0 0%
Epoca 206 | ACIERTOS = 4 100%
Epoca 206 | FALLOS = 0 0%
Epoca 207 | ACIERTOS = 4 100%
Epoca 207 | FALLOS = 0 0%
Epoca 208 | ACIERTOS = 4 100%
Epoca 208 | FALLOS = 0 0%
Epoca 209 | ACIERTOS = 4 100%
Epoca 209 | FALLOS = 0 0%
Epoca 210 | ACIERTOS = 4 100%
Epoca 210 | FALLOS = 0 0%
Epoca 211 | ACIERTOS = 4 100%
Epoca 211 | FALLOS = 0 0%
Epoca 212 | ACIERTOS = 4 100%
Epoca 212 | FALLOS = 0 0%
Epoca 213 | ACIERTOS = 4 100%
Epoca 213 | FALLOS = 0 0%
Epoca 214 | ACIERTOS = 4 100%
Epoca 214 | FALLOS = 0 0%
Epoca 215 | ACIERTOS = 4 100%
Epoca 215 | FALLOS = 0 0%
Epoca 216 | ACIERTOS = 4 100%
Epoca 216 | FALLOS = 0 0%
Epoca 217 | ACIERTOS = 4 100%
Epoca 217 | FALLOS = 0 0%
Epoca 218 | ACIERTOS = 4 100%
Epoca 218 | FALLOS = 0 0%
Epoca 219 | ACIERTOS = 4 100%
Epoca 219 | FALLOS = 0 0%
Epoca 220 | ACIERTOS = 4 100%
Epoca 220 | FALLOS = 0 0%
Epoca 221 | ACIERTOS = 4 100%
Epoca 221 | FALLOS = 0 0%
Epoca 222 | ACIERTOS = 4 100%
Epoca 222 | FALLOS = 0 0%
Epoca 223 | ACIERTOS = 4 100%
Epoca 223 | FALLOS = 0 0%
Epoca 224 | ACIERTOS = 4 100%
Epoca 224 | FALLOS = 0 0%
Epoca 225 | ACIERTOS = 4 100%
Epoca 225 | FALLOS = 0 0%
Epoca 226 | ACIERTOS = 4 100%
Epoca 226 | FALLOS = 0 0%
Epoca 227 | ACIERTOS = 4 100%
Epoca 227 | FALLOS = 0 0%
Epoca 228 | ACIERTOS = 4 100%
Epoca 228 | FALLOS = 0 0%
Epoca 229 | ACIERTOS = 4 100%
Epoca 229 | FALLOS = 0 0%
Epoca 230 | ACIERTOS = 4 100%
Epoca 230 | FALLOS = 0 0%
Epoca 231 | ACIERTOS = 4 100%
Epoca 231 | FALLOS = 0 0%
Epoca 232 | ACIERTOS = 4 100%
Epoca 232 | FALLOS = 0 0%
Epoca 233 | ACIERTOS = 4 100%
Epoca 233 | FALLOS = 0 0%
Epoca 234 | ACIERTOS = 4 100%
Epoca 234 | FALLOS = 0 0%
Epoca 235 | ACIERTOS = 4 100%
Epoca 235 | FALLOS = 0 0%
Epoca 236 | ACIERTOS = 4 100%
Epoca 236 | FALLOS = 0 0%
Epoca 237 | ACIERTOS = 4 100%
Epoca 237 | FALLOS = 0 0%
Epoca 238 | ACIERTOS = 4 100%
Epoca 238 | FALLOS = 0 0%
Epoca 239 | ACIERTOS = 4 100%
Epoca 239 | FALLOS = 0 0%
Epoca 240 | ACIERTOS = 4 100%
Epoca 240 | FALLOS = 0 0%
Epoca 241 | ACIERTOS = 4 100%
Epoca 241 | FALLOS = 0 0%
Epoca 242 | ACIERTOS = 4 100%
Epoca 242 | FALLOS = 0 0%
Epoca 243 | ACIERTOS = 4 100%
Epoca 243 | FALLOS = 0 0%
Epoca 244 | ACIERTOS = 4 100%
Epoca 244 | FALLOS = 0 0%
Epoca 245 | ACIERTOS = 4 100%
Epoca 245 | FALLOS = 0 0%
Epoca 246 | ACIERTOS = 4 100%
Epoca 246 | FALLOS = 0 0%
Epoca 247 | ACIERTOS = 4 100%
Epoca 247 | FALLOS = 0 0%
Epoca 248 | ACIERTOS = 4 100%
Epoca 248 | FALLOS = 0 0%
Epoca 249 | ACIERTOS = 4 100%
Epoca 249 | FALLOS = 0 0%
Epoca 250 | ACIERTOS = 4 100%
Epoca 250 | FALLOS = 0 0%
Epoca 251 | ACIERTOS = 4 100%
Epoca 251 | FALLOS = 0 0%
Epoca 252 | ACIERTOS = 4 100%
Epoca 252 | FALLOS = 0 0%
Epoca 253 | ACIERTOS = 4 100%
Epoca 253 | FALLOS = 0 0%
Epoca 254 | ACIERTOS = 4 100%
Epoca 254 | FALLOS = 0 0%
Epoca 255 | ACIERTOS = 4 100%
Epoca 255 | FALLOS = 0 0%
Epoca 256 | ACIERTOS = 4 100%
Epoca 256 | FALLOS = 0 0%
Epoca 257 | ACIERTOS = 4 100%
Epoca 257 | FALLOS = 0 0%
Epoca 258 | ACIERTOS = 4 100%
Epoca 258 | FALLOS = 0 0%
Epoca 259 | ACIERTOS = 4 100%
Epoca 259 | FALLOS = 0 0%
Epoca 260 | ACIERTOS = 4 100%
Epoca 260 | FALLOS = 0 0%
Epoca 261 | ACIERTOS = 4 100%
Epoca 261 | FALLOS = 0 0%
Epoca 262 | ACIERTOS = 4 100%
Epoca 262 | FALLOS = 0 0%
Epoca 263 | ACIERTOS = 4 100%
Epoca 263 | FALLOS = 0 0%
Epoca 264 | ACIERTOS = 4 100%
Epoca 264 | FALLOS = 0 0%
Epoca 265 | ACIERTOS = 4 100%
Epoca 265 | FALLOS = 0 0%
Epoca 266 | ACIERTOS = 4 100%
Epoca 266 | FALLOS = 0 0%
Epoca 267 | ACIERTOS = 4 100%
Epoca 267 | FALLOS = 0 0%
Epoca 268 | ACIERTOS = 4 100%
Epoca 268 | FALLOS = 0 0%
Epoca 269 | ACIERTOS = 4 100%
Epoca 269 | FALLOS = 0 0%
Epoca 270 | ACIERTOS = 4 100%
Epoca 270 | FALLOS = 0 0%
Epoca 271 | ACIERTOS = 4 100%
Epoca 271 | FALLOS = 0 0%
Epoca 272 | ACIERTOS = 4 100%
Epoca 272 | FALLOS = 0 0%
Epoca 273 | ACIERTOS = 4 100%
Epoca 273 | FALLOS = 0 0%
Epoca 274 | ACIERTOS = 4 100%
Epoca 274 | FALLOS = 0 0%
Epoca 275 | ACIERTOS = 4 100%
Epoca 275 | FALLOS = 0 0%
Epoca 276 | ACIERTOS = 4 100%
Epoca 276 | FALLOS = 0 0%
Epoca 277 | ACIERTOS = 4 100%
Epoca 277 | FALLOS = 0 0%
Epoca 278 | ACIERTOS = 4 100%
Epoca 278 | FALLOS = 0 0%
Epoca 279 | ACIERTOS = 4 100%
Epoca 279 | FALLOS = 0 0%
Epoca 280 | ACIERTOS = 4 100%
Epoca 280 | FALLOS = 0 0%
Epoca 281 | ACIERTOS = 4 100%
Epoca 281 | FALLOS = 0 0%
Epoca 282 | ACIERTOS = 4 100%
Epoca 282 | FALLOS = 0 0%
Epoca 283 | ACIERTOS = 4 100%
Epoca 283 | FALLOS = 0 0%
Epoca 284 | ACIERTOS = 4 100%
