0.19 0.42 -0.35 0.08 
0.01 -0.19 -0.46 -0.08 
0.21 -0.08 
-0.03 -0.15 
-0.28 0.05 
0.24 0.03 -0.16 -0.13 0.38 

##################LEARN##################
Epoca 122 | FALLOS = 108 72%
Epoca 123 | ACIERTOS = 42 28%
Epoca 123 | FALLOS = 108 72%
Epoca 124 | ACIERTOS = 42 28%
Epoca 124 | FALLOS = 108 72%
Epoca 125 | ACIERTOS = 42 28%
Epoca 125 | FALLOS = 108 72%
Epoca 126 | ACIERTOS = 42 28%
Epoca 126 | FALLOS = 108 72%
Epoca 127 | ACIERTOS = 42 28%
Epoca 127 | FALLOS = 108 72%
Epoca 128 | ACIERTOS = 42 28%
Epoca 128 | FALLOS = 108 72%
Epoca 129 | ACIERTOS = 42 28%
Epoca 129 | FALLOS = 108 72%
Epoca 130 | ACIERTOS = 42 28%
Epoca 130 | FALLOS = 108 72%
Epoca 131 | ACIERTOS = 42 28%
Epoca 131 | FALLOS = 108 72%
Epoca 132 | ACIERTOS = 42 28%
Epoca 132 | FALLOS = 108 72%
Epoca 133 | ACIERTOS = 42 28%
Epoca 133 | FALLOS = 108 72%
Epoca 134 | ACIERTOS = 42 28%
Epoca 134 | FALLOS = 108 72%
Epoca 135 | ACIERTOS = 42 28%
Epoca 135 | FALLOS = 108 72%
Epoca 136 | ACIERTOS = 42 28%
Epoca 136 | FALLOS = 108 72%
Epoca 137 | ACIERTOS = 42 28%
Epoca 137 | FALLOS = 108 72%
Epoca 138 | ACIERTOS = 42 28%
Epoca 138 | FALLOS = 108 72%
Epoca 139 | ACIERTOS = 42 28%
Epoca 139 | FALLOS = 108 72%
Epoca 140 | ACIERTOS = 42 28%
Epoca 140 | FALLOS = 108 72%
Epoca 141 | ACIERTOS = 42 28%
Epoca 141 | FALLOS = 108 72%
Epoca 142 | ACIERTOS = 42 28%
Epoca 142 | FALLOS = 108 72%
Epoca 143 | ACIERTOS = 42 28%
Epoca 143 | FALLOS = 108 72%
Epoca 144 | ACIERTOS = 42 28%
Epoca 144 | FALLOS = 108 72%
Epoca 145 | ACIERTOS = 42 28%
Epoca 145 | FALLOS = 108 72%
Epoca 146 | ACIERTOS = 42 28%
Epoca 146 | FALLOS = 108 72%
Epoca 147 | ACIERTOS = 42 28%
Epoca 147 | FALLOS = 108 72%
Epoca 148 | ACIERTOS = 42 28%
Epoca 148 | FALLOS = 108 72%
Epoca 149 | ACIERTOS = 42 28%
Epoca 149 | FALLOS = 108 72%
Epoca 150 | ACIERTOS = 42 28%
Epoca 150 | FALLOS = 108 72%
Epoca 151 | ACIERTOS = 42 28%
Epoca 151 | FALLOS = 108 72%
Epoca 152 | ACIERTOS = 42 28%
Epoca 152 | FALLOS = 108 72%
Epoca 153 | ACIERTOS = 42 28%
Epoca 153 | FALLOS = 108 72%
Epoca 154 | ACIERTOS = 42 28%
Epoca 154 | FALLOS = 108 72%
Epoca 155 | ACIERTOS = 42 28%
Epoca 155 | FALLOS = 108 72%
Epoca 156 | ACIERTOS = 42 28%
Epoca 156 | FALLOS = 108 72%
Epoca 157 | ACIERTOS = 42 28%
Epoca 157 | FALLOS = 108 72%
Epoca 158 | ACIERTOS = 42 28%
Epoca 158 | FALLOS = 108 72%
Epoca 159 | ACIERTOS = 42 28%
Epoca 159 | FALLOS = 108 72%
Epoca 160 | ACIERTOS = 42 28%
Epoca 160 | FALLOS = 108 72%
Epoca 161 | ACIERTOS = 42 28%
Epoca 161 | FALLOS = 108 72%
Epoca 162 | ACIERTOS = 42 28%
Epoca 162 | FALLOS = 108 72%
Epoca 163 | ACIERTOS = 42 28%
Epoca 163 | FALLOS = 108 72%
Epoca 164 | ACIERTOS = 42 28%
Epoca 164 | FALLOS = 108 72%
Epoca 165 | ACIERTOS = 42 28%
Epoca 165 | FALLOS = 108 72%
Epoca 166 | ACIERTOS = 42 28%
Epoca 166 | FALLOS = 108 72%
Epoca 167 | ACIERTOS = 42 28%
Epoca 167 | FALLOS = 108 72%
Epoca 168 | ACIERTOS = 42 28%
Epoca 168 | FALLOS = 108 72%
Epoca 169 | ACIERTOS = 42 28%
Epoca 169 | FALLOS = 108 72%
Epoca 170 | ACIERTOS = 42 28%
Epoca 170 | FALLOS = 108 72%
Epoca 171 | ACIERTOS = 42 28%
Epoca 171 | FALLOS = 108 72%
Epoca 172 | ACIERTOS = 42 28%
Epoca 172 | FALLOS = 108 72%
Epoca 173 | ACIERTOS = 42 28%
Epoca 173 | FALLOS = 108 72%
Epoca 174 | ACIERTOS = 42 28%
Epoca 174 | FALLOS = 108 72%
Epoca 175 | ACIERTOS = 42 28%
Epoca 175 | FALLOS = 108 72%
Epoca 176 | ACIERTOS = 42 28%
Epoca 176 | FALLOS = 108 72%
Epoca 177 | ACIERTOS = 42 28%
Epoca 177 | FALLOS = 108 72%
Epoca 178 | ACIERTOS = 42 28%
Epoca 178 | FALLOS = 108 72%
Epoca 179 | ACIERTOS = 42 28%
Epoca 179 | FALLOS = 108 72%
