0.40 -0.47 
0.01 0.25 
-0.14 -0.28 
0.30 0.33 
-0.43 0.14 
-0.42 -0.15 
0.45 0.32 
-0.30 0.37 -0.44 -0.16 0.45 0.34 -0.17 
-0.31 -0.32 0.07 0.41 -0.19 -0.47 0.41 
0.38 0.20 -0.25 0.28 0.23 0.26 0.03 -0.41 0.48 

##################LEARN##################
Epoca 154 | FALLOS = 2 50%
Epoca 155 | ACIERTOS = 2 50%
Epoca 155 | FALLOS = 2 50%
Epoca 156 | ACIERTOS = 2 50%
Epoca 156 | FALLOS = 2 50%
Epoca 157 | ACIERTOS = 2 50%
Epoca 157 | FALLOS = 2 50%
Epoca 158 | ACIERTOS = 2 50%
Epoca 158 | FALLOS = 2 50%
Epoca 159 | ACIERTOS = 2 50%
Epoca 159 | FALLOS = 2 50%
Epoca 160 | ACIERTOS = 2 50%
Epoca 160 | FALLOS = 2 50%
Epoca 161 | ACIERTOS = 2 50%
Epoca 161 | FALLOS = 2 50%
Epoca 162 | ACIERTOS = 2 50%
Epoca 162 | FALLOS = 2 50%
Epoca 163 | ACIERTOS = 2 50%
Epoca 163 | FALLOS = 2 50%
Epoca 164 | ACIERTOS = 2 50%
Epoca 164 | FALLOS = 2 50%
Epoca 165 | ACIERTOS = 2 50%
Epoca 165 | FALLOS = 2 50%
Epoca 166 | ACIERTOS = 2 50%
Epoca 166 | FALLOS = 2 50%
Epoca 167 | ACIERTOS = 2 50%
Epoca 167 | FALLOS = 2 50%
Epoca 168 | ACIERTOS = 2 50%
Epoca 168 | FALLOS = 2 50%
Epoca 169 | ACIERTOS = 2 50%
Epoca 169 | FALLOS = 2 50%
Epoca 170 | ACIERTOS = 2 50%
Epoca 170 | FALLOS = 2 50%
Epoca 171 | ACIERTOS = 2 50%
Epoca 171 | FALLOS = 2 50%
Epoca 172 | ACIERTOS = 2 50%
Epoca 172 | FALLOS = 2 50%
Epoca 173 | ACIERTOS = 2 50%
Epoca 173 | FALLOS = 2 50%
Epoca 174 | ACIERTOS = 2 50%
Epoca 174 | FALLOS = 2 50%
Epoca 175 | ACIERTOS = 2 50%
Epoca 175 | FALLOS = 2 50%
Epoca 176 | ACIERTOS = 2 50%
Epoca 176 | FALLOS = 2 50%
Epoca 177 | ACIERTOS = 2 50%
Epoca 177 | FALLOS = 2 50%
Epoca 178 | ACIERTOS = 2 50%
Epoca 178 | FALLOS = 2 50%
Epoca 179 | ACIERTOS = 2 50%
Epoca 179 | FALLOS = 2 50%
Epoca 180 | ACIERTOS = 2 50%
Epoca 180 | FALLOS = 2 50%
Epoca 181 | ACIERTOS = 2 50%
Epoca 181 | FALLOS = 2 50%
Epoca 182 | ACIERTOS = 2 50%
Epoca 182 | FALLOS = 2 50%
Epoca 183 | ACIERTOS = 2 50%
Epoca 183 | FALLOS = 2 50%
Epoca 184 | ACIERTOS = 2 50%
Epoca 184 | FALLOS = 2 50%
Epoca 185 | ACIERTOS = 2 50%
Epoca 185 | FALLOS = 2 50%
Epoca 186 | ACIERTOS = 2 50%
Epoca 186 | FALLOS = 2 50%
Epoca 187 | ACIERTOS = 2 50%
Epoca 187 | FALLOS = 2 50%
Epoca 188 | ACIERTOS = 2 50%
Epoca 188 | FALLOS = 2 50%
Epoca 189 | ACIERTOS = 2 50%
Epoca 189 | FALLOS = 2 50%
Epoca 190 | ACIERTOS = 2 50%
Epoca 190 | FALLOS = 2 50%
Epoca 191 | ACIERTOS = 2 50%
Epoca 191 | FALLOS = 2 50%
Epoca 192 | ACIERTOS = 2 50%
Epoca 192 | FALLOS = 2 50%
Epoca 193 | ACIERTOS = 2 50%
Epoca 193 | FALLOS = 2 50%
Epoca 194 | ACIERTOS = 2 50%
Epoca 194 | FALLOS = 2 50%
